1, 34, 106, 高度な肥満
2, 55, 162, 標準
3, 48, 135, 肥満
4, 33, 122, 標準
5, 95, 208, 標準
6, 24, 107, 標準
7, 31, 155, やせ型
8, 49, 229, やせ型
9, 97, 106, 高度な肥満
10, 91, 150, 高度な肥満
11, 89, 207, 標準
12, 48, 214, やせ型
13, 95, 171, 高度な肥満
14, 20, 140, やせ型
15, 74, 187, 標準
16, 55, 139, 肥満
17, 47, 186, やせ型
18, 33, 123, 標準
19, 68, 124, 高度な肥満
20, 65, 188, やせ型
21, 97, 167, 高度な肥満
22, 25, 217, やせ型
23, 88, 131, 高度な肥満
24, 68, 120, 高度な肥満
25, 90, 175, 肥満
26, 100, 192, 肥満
27, 93, 149, 高度な肥満
28, 28, 111, 標準
29, 49, 174, やせ型
30, 30, 159, やせ型
31, 32, 197, やせ型
32, 55, 216, やせ型
33, 66, 141, 高度な肥満
34, 67, 190, 標準
35, 46, 168, やせ型
36, 29, 143, やせ型
37, 88, 162, 高度な肥満
38, 40, 218, やせ型
39, 68, 169, 標準
40, 91, 156, 高度な肥満
41, 61, 114, 高度な肥満
42, 49, 108, 高度な肥満
43, 60, 202, やせ型
44, 54, 116, 高度な肥満
45, 47, 180, やせ型
46, 47, 227, やせ型
47, 70, 217, やせ型
48, 38, 167, やせ型
49, 37, 163, やせ型
50, 91, 167, 高度な肥満
51, 94, 209, 標準
52, 94, 202, 標準
53, 66, 156, 肥満
54, 37, 226, やせ型
55, 31, 112, 標準
56, 34, 139, やせ型
57, 100, 140, 高度な肥満
58, 74, 116, 高度な肥満
59, 69, 197, やせ型
60, 96, 219, 標準
61, 87, 164, 高度な肥満
62, 90, 102, 高度な肥満
63, 34, 168, やせ型
64, 63, 128, 高度な肥満
65, 57, 211, やせ型
66, 40, 216, やせ型
67, 20, 167, やせ型
68, 84, 145, 高度な肥満
69, 84, 127, 高度な肥満
70, 100, 176, 高度な肥満
71, 84, 150, 高度な肥満
72, 39, 195, やせ型
73, 40, 100, 高度な肥満
74, 96, 182, 肥満
75, 82, 104, 高度な肥満
76, 34, 192, やせ型
77, 59, 161, 標準
78, 27, 161, やせ型
79, 92, 120, 高度な肥満
80, 30, 224, やせ型
81, 28, 132, やせ型
82, 36, 221, やせ型
83, 90, 142, 高度な肥満
84, 53, 208, やせ型
85, 47, 151, 標準
86, 59, 202, やせ型
87, 67, 212, やせ型
88, 86, 215, 標準
89, 35, 163, やせ型
90, 48, 116, 高度な肥満
91, 63, 105, 高度な肥満
92, 95, 158, 高度な肥満
93, 95, 156, 高度な肥満
94, 20, 118, やせ型
95, 100, 115, 高度な肥満
96, 49, 117, 高度な肥満
97, 24, 184, やせ型
98, 29, 160, やせ型
99, 55, 224, やせ型
100, 47, 133, 肥満
101, 93, 221, 標準
102, 51, 221, やせ型
103, 72, 148, 高度な肥満
104, 32, 124, 標準
105, 75, 190, 標準
106, 74, 205, やせ型
107, 79, 113, 高度な肥満
108, 32, 115, 標準
109, 71, 186, 標準
110, 33, 163, やせ型
111, 44, 148, 標準
112, 88, 214, 標準
113, 37, 208, やせ型
114, 43, 171, やせ型
115, 79, 163, 肥満
116, 29, 213, やせ型
117, 90, 125, 高度な肥満
118, 26, 103, 標準
119, 31, 160, やせ型
120, 41, 204, やせ型
121, 82, 223, やせ型
122, 47, 202, やせ型
123, 27, 142, やせ型
124, 68, 100, 高度な肥満
125, 69, 167, 標準
126, 78, 173, 肥満
127, 74, 224, やせ型
128, 39, 148, やせ型
129, 57, 155, 標準
130, 27, 115, 標準
131, 60, 114, 高度な肥満
132, 26, 222, やせ型
